Date,State,Rating
2019-03-08,AK,Safe R
2019-03-08,AL,Safe R
2019-03-08,AR,Safe R
2019-03-08,AZ,Tilt R
2019-03-08,CA,Safe D
2019-03-08,CO,Safe D
2019-03-08,CT,Safe D
2019-03-08,DC,Safe D
2019-03-08,DE,Safe D
2019-03-08,FL,Tossup
2019-03-08,GA,Likely R
2019-03-08,HI,Safe D
2019-03-08,IA,Lean R
2019-03-08,ID,Safe R
2019-03-08,IL,Safe D
2019-03-08,IN,Safe R
2019-03-08,KS,Safe R
2019-03-08,KY,Safe R
2019-03-08,LA,Safe R
2019-03-08,MA,Safe D
2019-03-08,MD,Safe D
2019-03-08,ME,Lean D
2019-03-08,MI,Tilt D
2019-03-08,MN,Likely D
2019-03-08,MO,Safe R
2019-03-08,MS,Safe R
2019-03-08,MT,Safe R
2019-03-08,NC,Tossup
2019-03-08,ND,Safe R
2019-03-08,NE,Safe R
2019-03-08,NH,Lean D
2019-03-08,NJ,Safe D
2019-03-08,NM,Safe D
2019-03-08,NV,Lean D
2019-03-08,NY,Safe D
2019-03-08,OH,Likely R
2019-03-08,OK,Safe R
2019-03-08,OR,Safe D
2019-03-08,PA,Tilt D
2019-03-08,RI,Safe D
2019-03-08,SC,Safe R
2019-03-08,SD,Safe R
2019-03-08,TN,Safe R
2019-03-08,TX,Safe R
2019-03-08,UT,Safe R
2019-03-08,VA,Safe D
2019-03-08,VT,Safe D
2019-03-08,WA,Safe D
2019-03-08,WI,Tossup
2019-03-08,WV,Safe R
2019-03-08,WY,Safe R
2019-04-05,AK,Safe R
2019-04-05,AL,Safe R
2019-04-05,AR,Safe R
2019-04-05,AZ,Tilt R
2019-04-05,CA,Safe D
2019-04-05,CO,Safe D
2019-04-05,CT,Safe D
2019-04-05,DC,Safe D
2019-04-05,DE,Safe D
2019-04-05,FL,Tossup
2019-04-05,GA,Likely R
2019-04-05,HI,Safe D
2019-04-05,IA,Lean R
2019-04-05,ID,Safe R
2019-04-05,IL,Safe D
2019-04-05,IN,Safe R
2019-04-05,KS,Safe R
2019-04-05,KY,Safe R
2019-04-05,LA,Safe R
2019-04-05,MA,Safe D
2019-04-05,MD,Safe D
2019-04-05,ME,Lean D
2019-04-05,MI,Tilt D
2019-04-05,MN,Likely D
2019-04-05,MO,Safe R
2019-04-05,MS,Safe R
2019-04-05,MT,Safe R
2019-04-05,NC,Tossup
2019-04-05,ND,Safe R
2019-04-05,NE,Safe R
2019-04-05,NH,Lean D
2019-04-05,NJ,Safe D
2019-04-05,NM,Safe D
2019-04-05,NV,Lean D
2019-04-05,NY,Safe D
2019-04-05,OH,Likely R
2019-04-05,OK,Safe R
2019-04-05,OR,Safe D
2019-04-05,PA,Tilt D
2019-04-05,RI,Safe D
2019-04-05,SC,Safe R
2019-04-05,SD,Safe R
2019-04-05,TN,Safe R
2019-04-05,TX,Safe R
2019-04-05,UT,Safe R
2019-04-05,VA,Safe D
2019-04-05,VT,Safe D
2019-04-05,WA,Safe D
2019-04-05,WI,Tossup
2019-04-05,WV,Safe R
2019-04-05,WY,Safe R
2019-04-19,AK,Safe R
2019-04-19,AL,Safe R
2019-04-19,AR,Safe R
2019-04-19,AZ,Tilt R
2019-04-19,CA,Safe D
2019-04-19,CO,Safe D
2019-04-19,CT,Safe D
2019-04-19,DC,Safe D
2019-04-19,DE,Safe D
2019-04-19,FL,Tossup
2019-04-19,GA,Likely R
2019-04-19,HI,Safe D
2019-04-19,IA,Lean R
2019-04-19,ID,Safe R
2019-04-19,IL,Safe D
2019-04-19,IN,Safe R
2019-04-19,KS,Safe R
2019-04-19,KY,Safe R
2019-04-19,LA,Safe R
2019-04-19,MA,Safe D
2019-04-19,MD,Safe D
2019-04-19,ME,Lean D
2019-04-19,MI,Tilt D
2019-04-19,MN,Likely D
2019-04-19,MO,Safe R
2019-04-19,MS,Safe R
2019-04-19,MT,Safe R
2019-04-19,NC,Tossup
2019-04-19,ND,Safe R
2019-04-19,NE,Safe R
2019-04-19,NH,Lean D
2019-04-19,NJ,Safe D
2019-04-19,NM,Safe D
2019-04-19,NV,Lean D
2019-04-19,NY,Safe D
2019-04-19,OH,Likely R
2019-04-19,OK,Safe R
2019-04-19,OR,Safe D
2019-04-19,PA,Tilt D
2019-04-19,RI,Safe D
2019-04-19,SC,Safe R
2019-04-19,SD,Safe R
2019-04-19,TN,Safe R
2019-04-19,TX,Safe R
2019-04-19,UT,Safe R
2019-04-19,VA,Safe D
2019-04-19,VT,Safe D
2019-04-19,WA,Safe D
2019-04-19,WI,Tossup
2019-04-19,WV,Safe R
2019-04-19,WY,Safe R
2019-12-19,AK,Safe R
2019-12-19,AL,Safe R
2019-12-19,AR,Safe R
2019-12-19,AZ,Tilt R
2019-12-19,CA,Safe D
2019-12-19,CO,Safe D
2019-12-19,CT,Safe D
2019-12-19,DC,Safe D
2019-12-19,DE,Safe D
2019-12-19,FL,Tossup
2019-12-19,GA,Likely R
2019-12-19,HI,Safe D
2019-12-19,IA,Lean R
2019-12-19,ID,Safe R
2019-12-19,IL,Safe D
2019-12-19,IN,Safe R
2019-12-19,KS,Safe R
2019-12-19,KY,Safe R
2019-12-19,LA,Safe R
2019-12-19,MA,Safe D
2019-12-19,MD,Safe D
2019-12-19,ME,Lean D
2019-12-19,MI,Tilt D
2019-12-19,MN,Likely D
2019-12-19,MO,Safe R
2019-12-19,MS,Safe R
2019-12-19,MT,Safe R
2019-12-19,NC,Tossup
2019-12-19,ND,Safe R
2019-12-19,NE,Safe R
2019-12-19,NH,Lean D
2019-12-19,NJ,Safe D
2019-12-19,NM,Safe D
2019-12-19,NV,Lean D
2019-12-19,NY,Safe D
2019-12-19,OH,Likely R
2019-12-19,OK,Safe R
2019-12-19,OR,Safe D
2019-12-19,PA,Tilt D
2019-12-19,RI,Safe D
2019-12-19,SC,Safe R
2019-12-19,SD,Safe R
2019-12-19,TN,Safe R
2019-12-19,TX,Safe R
2019-12-19,UT,Safe R
2019-12-19,VA,Safe D
2019-12-19,VT,Safe D
2019-12-19,WA,Safe D
2019-12-19,WI,Tossup
2019-12-19,WV,Safe R
2019-12-19,WY,Safe R
2020-04-03,AK,Safe R
2020-04-03,AL,Safe R
2020-04-03,AR,Safe R
2020-04-03,AZ,Tossup
2020-04-03,CA,Safe D
2020-04-03,CO,Safe D
2020-04-03,CT,Safe D
2020-04-03,DC,Safe D
2020-04-03,DE,Safe D
2020-04-03,FL,Tossup
2020-04-03,GA,Lean R
2020-04-03,HI,Safe D
2020-04-03,IA,Lean R
2020-04-03,ID,Safe R
2020-04-03,IL,Safe D
2020-04-03,IN,Safe R
2020-04-03,KS,Safe R
2020-04-03,KY,Safe R
2020-04-03,LA,Safe R
2020-04-03,MA,Safe D
2020-04-03,MD,Safe D
2020-04-03,ME,Likely D
2020-04-03,MI,Tilt D
2020-04-03,MN,Lean D
2020-04-03,MO,Safe R
2020-04-03,MS,Safe R
2020-04-03,MT,Safe R
2020-04-03,NC,Tossup
2020-04-03,ND,Safe R
2020-04-03,NE,Safe R
2020-04-03,NH,Lean D
2020-04-03,NJ,Safe D
2020-04-03,NM,Safe D
2020-04-03,NV,Likely D
2020-04-03,NY,Safe D
2020-04-03,OH,Likely R
2020-04-03,OK,Safe R
2020-04-03,OR,Safe D
2020-04-03,PA,Tilt D
2020-04-03,RI,Safe D
2020-04-03,SC,Safe R
2020-04-03,SD,Safe R
2020-04-03,TN,Safe R
2020-04-03,TX,Likely R
2020-04-03,UT,Safe R
2020-04-03,VA,Safe D
2020-04-03,VT,Safe D
2020-04-03,WA,Safe D
2020-04-03,WI,Tossup
2020-04-03,WV,Safe R
2020-04-03,WY,Safe R
2020-07-17,AK,Lean R
2020-07-17,AL,Safe R
2020-07-17,AR,Safe R
2020-07-17,AZ,Tilt D
2020-07-17,CA,Safe D
2020-07-17,CO,Safe D
2020-07-17,CT,Safe D
2020-07-17,DC,Safe D
2020-07-17,DE,Safe D
2020-07-17,FL,Tilt D
2020-07-17,GA,Tossup
2020-07-17,HI,Safe D
2020-07-17,IA,Tilt R
2020-07-17,ID,Safe R
2020-07-17,IL,Safe D
2020-07-17,IN,Safe R
2020-07-17,KS,Likely R
2020-07-17,KY,Safe R
2020-07-17,LA,Safe R
2020-07-17,MA,Safe D
2020-07-17,MD,Safe D
2020-07-17,ME,Safe D
2020-07-17,MI,Lean D
2020-07-17,MN,Likely D
2020-07-17,MO,Likely R
2020-07-17,MS,Safe R
2020-07-17,MT,Lean R
2020-07-17,NC,Tossup
2020-07-17,ND,Safe R
2020-07-17,NE,Safe R
2020-07-17,NH,Lean D
2020-07-17,NJ,Safe D
2020-07-17,NM,Safe D
2020-07-17,NV,Likely D
2020-07-17,NY,Safe D
2020-07-17,OH,Tilt R
2020-07-17,OK,Safe R
2020-07-17,OR,Safe D
2020-07-17,PA,Lean D
2020-07-17,RI,Safe D
2020-07-17,SC,Likely R
2020-07-17,SD,Safe R
2020-07-17,TN,Safe R
2020-07-17,TX,Likely R
2020-07-17,UT,Likely R
2020-07-17,VA,Safe D
2020-07-17,VT,Safe D
2020-07-17,WA,Safe D
2020-07-17,WI,Tilt D
2020-07-17,WV,Safe R
2020-07-17,WY,Safe R
2020-09-04,AK,Lean R
2020-09-04,AL,Safe R
2020-09-04,AR,Safe R
2020-09-04,AZ,Tilt D
2020-09-04,CA,Safe D
2020-09-04,CO,Safe D
2020-09-04,CT,Safe D
2020-09-04,DC,Safe D
2020-09-04,DE,Safe D
2020-09-04,FL,Tilt D
2020-09-04,GA,Tossup
2020-09-04,HI,Safe D
2020-09-04,IA,Tilt R
2020-09-04,ID,Safe R
2020-09-04,IL,Safe D
2020-09-04,IN,Safe R
2020-09-04,KS,Likely R
2020-09-04,KY,Safe R
2020-09-04,LA,Safe R
2020-09-04,MA,Safe D
2020-09-04,MD,Safe D
2020-09-04,ME,Safe D
2020-09-04,MI,Lean D
2020-09-04,MN,Likely D
2020-09-04,MO,Likely R
2020-09-04,MS,Safe R
2020-09-04,MT,Lean R
2020-09-04,NC,Tossup
2020-09-04,ND,Safe R
2020-09-04,NE,Safe R
2020-09-04,NH,Lean D
2020-09-04,NJ,Safe D
2020-09-04,NM,Safe D
2020-09-04,NV,Likely D
2020-09-04,NY,Safe D
2020-09-04,OH,Tilt R
2020-09-04,OK,Safe R
2020-09-04,OR,Safe D
2020-09-04,PA,Lean D
2020-09-04,RI,Safe D
2020-09-04,SC,Likely R
2020-09-04,SD,Safe R
2020-09-04,TN,Safe R
2020-09-04,TX,Likely R
2020-09-04,UT,Likely R
2020-09-04,VA,Safe D
2020-09-04,VT,Safe D
2020-09-04,WA,Safe D
2020-09-04,WI,Tilt D
2020-09-04,WV,Safe R
2020-09-04,WY,Safe R
2020-09-18,AK,Lean R
2020-09-18,AL,Safe R
2020-09-18,AR,Safe R
2020-09-18,AZ,Tilt D
2020-09-18,CA,Safe D
2020-09-18,CO,Safe D
2020-09-18,CT,Safe D
2020-09-18,DC,Safe D
2020-09-18,DE,Safe D
2020-09-18,FL,Tilt D
2020-09-18,GA,Tossup
2020-09-18,HI,Safe D
2020-09-18,IA,Tilt R
2020-09-18,ID,Safe R
2020-09-18,IL,Safe D
2020-09-18,IN,Safe R
2020-09-18,KS,Likely R
2020-09-18,KY,Safe R
2020-09-18,LA,Safe R
2020-09-18,MA,Safe D
2020-09-18,MD,Safe D
2020-09-18,ME,Safe D
2020-09-18,MI,Lean D
2020-09-18,MN,Likely D
2020-09-18,MO,Likely R
2020-09-18,MS,Safe R
2020-09-18,MT,Lean R
2020-09-18,NC,Tossup
2020-09-18,ND,Safe R
2020-09-18,NE,Safe R
2020-09-18,NH,Lean D
2020-09-18,NJ,Safe D
2020-09-18,NM,Safe D
2020-09-18,NV,Likely D
2020-09-18,NY,Safe D
2020-09-18,OH,Tilt R
2020-09-18,OK,Safe R
2020-09-18,OR,Safe D
2020-09-18,PA,Lean D
2020-09-18,RI,Safe D
2020-09-18,SC,Likely R
2020-09-18,SD,Safe R
2020-09-18,TN,Safe R
2020-09-18,TX,Likely R
2020-09-18,UT,Likely R
2020-09-18,VA,Safe D
2020-09-18,VT,Safe D
2020-09-18,WA,Safe D
2020-09-18,WI,Tilt D
2020-09-18,WV,Safe R
2020-09-18,WY,Safe R
2020-10-01,AK,Lean R
2020-10-01,AL,Safe R
2020-10-01,AR,Safe R
2020-10-01,AZ,Tilt D
2020-10-01,CA,Safe D
2020-10-01,CO,Safe D
2020-10-01,CT,Safe D
2020-10-01,DC,Safe D
2020-10-01,DE,Safe D
2020-10-01,FL,Tilt D
2020-10-01,GA,Tossup
2020-10-01,HI,Safe D
2020-10-01,IA,Tilt R
2020-10-01,ID,Safe R
2020-10-01,IL,Safe D
2020-10-01,IN,Safe R
2020-10-01,KS,Likely R
2020-10-01,KY,Safe R
2020-10-01,LA,Safe R
2020-10-01,MA,Safe D
2020-10-01,MD,Safe D
2020-10-01,ME,Safe D
2020-10-01,MI,Lean D
2020-10-01,MN,Likely D
2020-10-01,MO,Likely R
2020-10-01,MS,Safe R
2020-10-01,MT,Lean R
2020-10-01,NC,Tossup
2020-10-01,ND,Safe R
2020-10-01,NE,Safe R
2020-10-01,NH,Lean D
2020-10-01,NJ,Safe D
2020-10-01,NM,Safe D
2020-10-01,NV,Likely D
2020-10-01,NY,Safe D
2020-10-01,OH,Tilt R
2020-10-01,OK,Safe R
2020-10-01,OR,Safe D
2020-10-01,PA,Lean D
2020-10-01,RI,Safe D
2020-10-01,SC,Likely R
2020-10-01,SD,Safe R
2020-10-01,TN,Safe R
2020-10-01,TX,Likely R
2020-10-01,UT,Likely R
2020-10-01,VA,Safe D
2020-10-01,VT,Safe D
2020-10-01,WA,Safe D
2020-10-01,WI,Tilt D
2020-10-01,WV,Safe R
2020-10-01,WY,Safe R
2020-10-16,AK,Lean R
2020-10-16,AL,Safe R
2020-10-16,AR,Safe R
2020-10-16,AZ,Tilt D
2020-10-16,CA,Safe D
2020-10-16,CO,Safe D
2020-10-16,CT,Safe D
2020-10-16,DC,Safe D
2020-10-16,DE,Safe D
2020-10-16,FL,Tilt D
2020-10-16,GA,Tossup
2020-10-16,HI,Safe D
2020-10-16,IA,Tossup
2020-10-16,ID,Safe R
2020-10-16,IL,Safe D
2020-10-16,IN,Safe R
2020-10-16,KS,Lean R
2020-10-16,KY,Safe R
2020-10-16,LA,Safe R
2020-10-16,MA,Safe D
2020-10-16,MD,Safe D
2020-10-16,ME,Safe D
2020-10-16,MI,Lean D
2020-10-16,MN,Likely D
2020-10-16,MO,Lean R
2020-10-16,MS,Safe R
2020-10-16,MT,Lean R
2020-10-16,NC,Tossup
2020-10-16,ND,Safe R
2020-10-16,NE,Safe R
2020-10-16,NH,Likely D
2020-10-16,NJ,Safe D
2020-10-16,NM,Safe D
2020-10-16,NV,Likely D
2020-10-16,NY,Safe D
2020-10-16,OH,Tossup
2020-10-16,OK,Safe R
2020-10-16,OR,Safe D
2020-10-16,PA,Lean D
2020-10-16,RI,Safe D
2020-10-16,SC,Likely R
2020-10-16,SD,Safe R
2020-10-16,TN,Safe R
2020-10-16,TX,Tilt R
2020-10-16,UT,Likely R
2020-10-16,VA,Safe D
2020-10-16,VT,Safe D
2020-10-16,WA,Safe D
2020-10-16,WI,Lean D
2020-10-16,WV,Safe R
2020-10-16,WY,Safe R
2020-10-28,AK,Lean R
2020-10-28,AL,Safe R
2020-10-28,AR,Safe R
2020-10-28,AZ,Tilt D
2020-10-28,CA,Safe D
2020-10-28,CO,Safe D
2020-10-28,CT,Safe D
2020-10-28,DC,Safe D
2020-10-28,DE,Safe D
2020-10-28,FL,Tilt D
2020-10-28,GA,Tilt D
2020-10-28,HI,Safe D
2020-10-28,IA,Tossup
2020-10-28,ID,Safe R
2020-10-28,IL,Safe D
2020-10-28,IN,Safe R
2020-10-28,KS,Lean R
2020-10-28,KY,Safe R
2020-10-28,LA,Safe R
2020-10-28,MA,Safe D
2020-10-28,MD,Safe D
2020-10-28,ME,Safe D
2020-10-28,MI,Lean D
2020-10-28,MN,Likely D
2020-10-28,MO,Lean R
2020-10-28,MS,Safe R
2020-10-28,MT,Lean R
2020-10-28,NC,Tilt D
2020-10-28,ND,Safe R
2020-10-28,NE,Safe R
2020-10-28,NH,Likely D
2020-10-28,NJ,Safe D
2020-10-28,NM,Safe D
2020-10-28,NV,Likely D
2020-10-28,NY,Safe D
2020-10-28,OH,Tossup
2020-10-28,OK,Safe R
2020-10-28,OR,Safe D
2020-10-28,PA,Lean D
2020-10-28,RI,Safe D
2020-10-28,SC,Likely R
2020-10-28,SD,Safe R
2020-10-28,TN,Safe R
2020-10-28,TX,Tossup
2020-10-28,UT,Likely R
2020-10-28,VA,Safe D
2020-10-28,VT,Safe D
2020-10-28,WA,Safe D
2020-10-28,WI,Lean D
2020-10-28,WV,Safe R
2020-10-28,WY,Safe R
